time_s,timestamp_ms,xAcc,yAcc,zAcc,xAccAvg,yAccAvg,zAccAvg,xAccButter,yAccButter,zAccButter,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,rxAccAvg,ryAccAvg,rzAccAvg,rxAccButter,ryAccButter,rzAccButter,normGyro,normAvgGyro,normButterGyro,interpolated,outOfBounds
0.002,4981,-0.892578125,-0.114013671875,0.34423828125,-0.952658032614087,-0.117241753472222,0.365087115575397,-1.72754399617431e-06,-2.20668229270625e-07,6.66257394585826e-07,0.963428679706438,1.02860067725151,1.86467199313113e-06,-17.9268292682927,3.84146341463415,2.5609756097561,-7.13801780874952,-3.51045296167248,-3.08749516066589,-3.46965552991577e-05,7.43497613553379e-06,4.95665075702253e-06,18.5117974506598,9.49598441655072,3.58287343690865e-05,0,0
0.006,4986,-0.897705078125,-0.10662841796875,0.34564208984375,-0.95212459564209,-0.118840217590332,0.364082336425781,-1.20158974073547e-05,-1.51929208165637e-06,4.63302990072807e-06,0.967839078091749,1.02801524088875,1.29675139036202e-05,-15.7926829268293,0.182926829268293,1.09756097560976,-7.18273628048781,-3.53086890243903,-3.16120426829268,-0.000237001351579391,4.45901904635913e-05,3.16150415498313e-05,15.831833006554,9.55962675569654,0.00024381329115123,0,0
0.01,4991,-0.9013671875,-0.10565185546875,0.362060546875,-0.951845139723558,-0.120013897235577,0.362823955829327,-4.25721774831681e-05,-5.32702424915988e-06,1.64400304995263e-05,0.977094141252046,1.027507453085,4.59465973350379e-05,-12.6219512195122,-3.17073170731707,-0.304878048780488,-7.29831144465291,-3.56378986866792,-3.23827392120075,-0.000818663058658198,0.00012719270913103,9.9530841998189e-05,13.0176857686825,9.68554674832793,0.000839862121382448,0,0
0.014,4996,-0.9041748046875,-0.10076904296875,0.389892578125,-0.951883027047822,-0.121041962594697,0.361391009706439,-0.00010628829033763,-1.31643911854925e-05,4.12182413741128e-05,0.989799323059718,1.027226633445,0.00011476173511522,-10.9756097560976,-4.69512195121951,-1.46341463414634,-7.43163340724317,-3.59571322985957,-3.31670362158167,-0.00198128413288419,0.000233910910585778,0.000213323624956791,12.0270429468927,9.82711099479838,0.00203082514323102,0,0
0.018,5001,-0.91815185546875,-0.08770751953125,0.406005859375,-0.952183965426772,-0.121990146921642,0.359638271047108,-0.000215457079937958,-2.63987260921063e-05,8.41216747592571e-05,1.00773815871479,1.02710453407326,0.000232814193503999,-10.5487804878049,-4.57317073170732,-3.04878048780488,-7.54004368401893,-3.61303239898071,-3.39734255551511,-0.00388292798700273,0.000309259146339507,0.000356557833784038,11.8947771220842,9.94516727130954,0.00398512984427352,0,0
0.022,5006,-0.93634033203125,-0.0743408203125,0.39837646484375,-0.952660055721507,-0.122661814970129,0.35740571863511,-0.000381851150484711,-4.61915648804161e-05,0.000150300988334618,1.02027622862367,1.02700190705954,0.000413006249287321,-9.87804878048781,-4.08536585365854,-4.9390243902439,-7.62733142037303,-3.61459827833573,-3.48098995695839,-0.0066535022627737,0.000286819358485248,0.000491260461515549,11.7753990928274,10.0440979494909,0.00684978409777702,0,0
0.026,5011,-0.94268798828125,-0.07574462890625,0.3861083984375,-0.953154190726902,-0.123041567595109,0.354920318161232,-0.000616797806722728,-7.34789783330445e-05,0.000244704193745781,1.02150750726652,1.02682929101649,0.000667732716920949,-7.92682926829268,-4.08536585365854,-6.15853658536585,-7.72887946270767,-3.61435136090491,-3.56398020501944,-0.0104021034490796,0.000104139741109165,0.000556545208699866,10.8375462758039,10.1544732478916,0.0107582362294398,0,0
0.03,5016,-0.94219970703125,-0.10284423828125,0.38153076171875,-0.953359549386161,-0.123195975167411,0.35264892578125,-0.000931150042770372,-0.000109099257750341,0.000371907507109482,1.02170590064613,1.02639173052446,0.00100880061724773,-5.60975609756098,-4.20731707317073,-6.34146341463415,-7.84930313588851,-3.63066202090592,-3.63937282229965,-0.0152106894749206,-0.000295138464742228,0.000473115846637898,9.45436611663944,10.2811723878585,0.0158269821257606,0,0
0.034,5021,-0.944091796875,-0.13690185546875,0.3699951171875,-0.953294351067342,-0.123414805237676,0.350887674680898,-0.00133519959172029,-0.000154044391446791,0.000536085765172687,1.02320468416639,1.02581527526792,0.00144736261626026,-3.65853658536585,-3.78048780487805,-6.46341463414634,-7.94572311920303,-3.64651322569564,-3.70233596702164,-0.0211259701782982,-0.000963277554940081,0.000153709379770859,8.3338290552536,10.3820742716372,0.0221494309041019,0,0
0.038,5026,-0.94366455078125,-0.16143798828125,0.3685302734375,-0.953261481391059,-0.124000549316406,0.349711100260417,-0.0018386371746845,-0.00020965093002948,0.000741041185079139,1.02585553120378,1.02547430084355,0.00199391583939637,-1.40243902439024,-4.08536585365854,-6.64634146341464,-8.02252710027101,-3.64922086720867,-3.75762195121951,-0.0281579925931307,-0.00194845802330719,-0.000488849903737533,7.92659474324734,10.4598301340697,0.0297956386630783,0,0
0.042,5031,-0.95330810546875,-0.1666259765625,0.3868408203125,-0.953179346372003,-0.124816058433219,0.349034975652825,-0.00245057517668719,-0.000277578694112589,0.000990287578044558,1.04221225298778,1.02526984241728,0.00265835825263825,0.365853658536585,-5,-6.76829268292683,-8.10892081523555,-3.65519545606415,-3.8047109923154,-0.0362824988040919,-0.00329739309628856,-0.00153941869569485,8.42280444633647,10.5432096955614,0.0388199004385549,0,0
0.046,5036,-0.97210693359375,-0.1431884765625,0.41815185546875,-0.952930347339527,-0.125781909839527,0.348547858160895,-0.00317963049707728,-0.00035958313931603,0.00128724449311945,1.06786975066873,1.0249974719474,0.0034501108807043,0.609756097560976,-5.42682926829268,-6.52439024390244,-8.19545154911009,-3.66430454845089,-3.84311140408701,-0.0454473411280622,-0.00506112059878263,-0.0030797120367814,8.50822816222275,10.6242264146187,0.0492705357600331,0,0
