time_s,timestamp_ms,xAcc,yAcc,zAcc,xAccAvg,yAccAvg,zAccAvg,xAccButter,yAccButter,zAccButter,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,rxAccAvg,ryAccAvg,rzAccAvg,rxAccButter,ryAccButter,rzAccButter,normGyro,normAvgGyro,normButterGyro,interpolated,outOfBounds
0.001,4981,0.1810302734375,-0.03668212890625,-0.9163818359375,0.234742179749504,-0.0503695048983135,-0.954052153087798,3.50375785876163e-07,-7.09965769762556e-08,-1.77361498622546e-06,0.934811856855771,0.986232498208765,1.80928544586923e-06,-8.23170731707317,0.0609756097560976,6.21951219512195,-1.66569879984514,-7.47967479674797,-7.3054587688734,-1.5932091719001e-05,1.18015494214822e-07,1.20375804099118e-05,10.3173182234635,43.3579127025033,1.99686959094636e-05,0,0
0.005,4986,0.1650390625,-0.037841796875,-0.9246826171875,0.234503746032715,-0.0510931015014648,-0.953664779663086,2.40406890161397e-06,-4.95651939639051e-07,-1.23422214167574e-05,0.940057357968296,0.98581809093799,1.25842083340781e-05,-6.15853658536585,1.28048780487805,6.95121951219512,-1.83307926829268,-7.37233231707317,-7.5390625,-0.000106711302017726,3.18048639408185e-06,8.50741899286892e-05,9.37478930955002,43.0784756761431,0.000136952940178566,0,0
0.009,4991,0.1531982421875,-0.0428466796875,-0.94500732421875,0.23448486328125,-0.0524686373197115,-0.953373835637019,8.38093581948877e-06,-1.77174129979909e-06,-4.37804255629261e-05,0.9583028655893,0.985630325170114,4.46127683852464e-05,-5.85365853658537,-0.670731707317073,6.70731707317073,-1.96622889305816,-7.31332082551595,-7.73921200750469,-0.00036343996098187,1.55301161570238e-05,0.000305484397311944,8.92767055878446,42.7748062483474,0.000477669868573105,0,0
0.013,4996,0.14215087890625,-0.05841064453125,-0.95758056640625,0.234534061316288,-0.0543481075402462,-0.953229499585701,2.05545014395105e-05,-4.50848809788163e-06,-0.00010950900573339,0.9698346338048,0.985684451794428,0.000111522038635039,-9.39024390243902,-6.21951219512195,5,-2.06023651145602,-7.27642276422764,-7.89449371766445,-0.000881516191190955,2.83171472776061e-05,0.000766789985566901,12.3231088809831,42.4350345360939,0.00118081680587842,0,0
0.017,5001,0.14349365234375,-0.07440185546875,-0.9625244140625,0.234645558826959,-0.0565240205223881,-0.953194233908582,4.09178087827166e-05,-9.43604320261624e-06,-0.000222464446435553,0.976001696733413,0.985918754183552,0.000226422278166173,-16.6463414634146,-13.5365853658537,2.07317073170732,-2.11048416454313,-7.23334546778304,-8.00691663633055,-0.00178012906586895,-2.2224324578293e-05,0.00154204776830503,21.5554601984381,42.0544006717749,0.0024110004897892,0,0
0.021,5006,0.1563720703125,-0.08514404296875,-0.9737548828125,0.234609267290901,-0.0589061063878676,-0.953341315774357,7.13015107792418e-05,-1.74597022429759e-05,-0.000395052243017468,0.98989913841162,0.986340423441172,0.000401885464940786,-26.0365853658537,-20.8536585365854,-1.76829268292683,-2.11800573888091,-7.17270444763271,-8.08464849354376,-0.00325239520858848,-0.000289297967357679,0.00266552203807793,33.4051749117764,41.6403815703613,0.00441948432443902,0,0
0.025,5011,0.17864990234375,-0.09161376953125,-0.97088623046875,0.234409498131793,-0.0613845604053442,-0.953649548516757,0.00011353808442656,-2.96343334030166e-05,-0.000639106733732434,0.991427729534017,0.986906822172755,0.000649932157023556,-34.9390243902439,-27.0121951219512,-6.15853658536585,-2.09437963944856,-7.08907741251326,-8.13538352774832,-0.00560196853582634,-0.00102595762716179,0.00411825286286533,44.5906008427977,41.2061750593417,0.00759486039603643,0,0
0.029,5016,0.20428466796875,-0.0989990234375,-0.96478271484375,0.234100341796875,-0.0638846261160714,-0.954022216796875,0.000169611348529492,-4.7103002623923e-05,-0.000965837115020173,0.991130021273676,0.987523365221794,0.000982001833941498,-42.6219512195122,-31.6463414634146,-10.5487804878049,-2.05836236933798,-6.99303135888502,-8.16637630662021,-0.00925163376993448,-0.00257364032320289,0.00581982605816934,54.1239172968606,40.7649468550635,0.0124752629423185,0,0
0.033,5021,0.22625732421875,-0.1009521484375,-0.95654296875,0.233667507977553,-0.0664088289502641,-0.954322492572623,0.000241735707996719,-7.10510038405403e-05,-0.00138575047015593,0.988108376698548,0.988058930391462,0.00140889334441615,-49.2682926829268,-35.5487804878049,-14.7560975609756,-2.02507729302645,-6.89110271384404,-8.18704912401237,-0.014729139344886,-0.0053404084971962,0.00762687793805335,62.5205795981588,40.3265962583469,0.0197297678850642,0,0
0.037,5026,0.24810791015625,-0.10107421875,-0.9508056640625,0.233107672797309,-0.0687594943576389,-0.95447031656901,0.00033235807370479,-0.000102664199154227,-0.00190861825145288,0.987828397846183,0.988391012794894,0.00194073656990429,-54.1463414634146,-39.4512195121951,-18.3536585365854,-2.00711382113821,-6.78607723577236,-8.20630081300813,-0.0226439108909602,-0.00978182324835452,0.00933753542047218,69.4628087292018,39.9001781640105,0.0301308243026995,0,0
