time_s,timestamp_ms,xAcc,yAcc,zAcc,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,normGyro,normAvgGyro,normButterGyro
0.001,31587,0.0235595703125,-0.00933837890625,0.014404296875,0.0291503420626493,0.0242688690699481,3.35639212450726e-06,5.30487804878049,2.07317073170732,2.4390243902439,6.19585409539682,3.59190224466287,0.00071339526121828
0.005,31591,0.01812744140625,-0.01654052734375,0.01043701171875,0.0266669156514902,0.0240926595347869,2.25342403753583e-05,5.85365853658537,2.19512195121951,2.4390243902439,6.71064219131591,3.58280225791034,0.00490966317146369
0.009,31595,0.0140380859375,-0.01910400390625,0.00897216796875,0.0253481877083573,0.0239850278477636,7.64868193517713e-05,5.91463414634146,1.76829268292683,2.37804878048781,6.61550240722052,3.599762420968,0.0170946799040197
0.013,31599,0.0111083984375,-0.0233154296875,0.00482177734375,0.0262727104447126,0.023979702190132,0.000182193066993343,5.73170731707317,1.15853658536585,2.31707317073171,6.28995261244041,3.63351690980012,0.0416203667758772
0.017,31603,0.0111083984375,-0.0233154296875,0.00482177734375,0.0262727104447126,0.02408354512508,0.000352094986850425,5.73170731707317,1.15853658536585,2.31707317073171,6.28995261244041,3.66835271223601,0.0817167867634756
0.021,31607,0.0081787109375,-0.0322265625,0.001953125,0.0333055151653778,0.024184333856059,0.000596042484423081,4.87804878048781,1.03658536585366,2.37804878048781,5.52494209271917,3.70216393224731,0.139499110917267
0.025,31611,0.00616455078125,-0.03955078125,0.0010986328125,0.0400433886912267,0.0242620482464858,0.00092385591618527,3.47560975609756,1.03658536585366,2.25609756097561,4.27134037534152,3.72087069779599,0.215882129247709
0.029,31615,0.00244140625,-0.04449462890625,-0.00250244140625,0.0446317675985856,0.0242416172803866,0.00134705240355106,2.13414634146341,1.03658536585366,2.25609756097561,3.27399847772166,3.71861213088668,0.310399475534113
0.033,31619,-0.0009765625,-0.0447998046875,-0.004150390625,0.0450022434629057,0.0242074661683255,0.00187772298874576,0.975609756097561,1.40243902439024,2.31707317073171,2.87879795953973,3.71189184274984,0.421347899515723
0.037,31623,-0.0009765625,-0.0447998046875,-0.004150390625,0.0450022434629057,0.0241816129831265,0.00252583719298787,0.975609756097561,1.40243902439024,2.31707317073171,2.87879795953973,3.71642424157953,0.546313660999206
0.041,31627,-0.002197265625,-0.04443359375,-0.00677490234375,0.0450007947878056,0.0241564681043714,0.00329751085596054,-0.0609756097560976,1.58536585365854,2.31707317073171,2.80818998528523,3.72083246509881,0.682698038359215
0.045,31631,-0.0018310546875,-0.0384521484375,-0.004150390625,0.0387188096804155,0.0241890976007766,0.00419414806007967,-0.853658536585366,1.82926829268293,2.5,3.21324686006229,3.72997576313836,0.828023121633681
0.049,31635,0.00164794921875,-0.0361328125,-0.0059814453125,0.0366616088546884,0.0243050880225731,0.00521143333032154,-1.15853658536585,1.64634146341463,2.31707317073171,3.06944218259835,3.73253504151891,0.98006801596446
0.053,31639,0.00714111328125,-0.02984619140625,-0.003662109375,0.0309063373020586,0.0243888220675935,0.00633920360914905,-0.975609756097561,1.34146341463415,2.31707317073171,2.8495905964751,3.73335972909711,1.13681329320798
0.057,31643,0.00714111328125,-0.02984619140625,-0.003662109375,0.0309063373020586,0.0244969559164256,0.00756271482194005,-0.975609756097561,1.34146341463415,2.31707317073171,2.8495905964751,3.73291955305282,1.29630022373478
0.061,31647,0.009765625,-0.02105712890625,-0.00372314453125,0.0235081244384921,0.0246023171024671,0.0088639967660422,-0.609756097560976,0.914634146341463,2.25609756097561,2.50964824722642,3.73249066357378,1.45659948887326
0.065,31651,0.01593017578125,-0.01031494140625,-0.0003662109375,0.0189816392096847,0.0247119394207541,0.0102220273991776,0.121951219512195,0.548780487804878,2.13414634146341,2.20694647205535,3.72858415977851,1.61579356036829
0.069,31655,0.0179443359375,0.00152587890625,0.0047607421875,0.0186277257025713,0.0247181083087195,0.0116131914129206,0.914634146341463,0.670731707317073,2.19512195121951,2.470829218214,3.72556215795048,1.77199578739832
0.073,31659,0.01934814453125,0.0035400390625,0.00537109375,0.0203894880131271,0.0246741095339305,0.0130139687628,1.76829268292683,1.09756097560976,2.31707317073171,3.11453482661515,3.72344920039008,1.92359436806901
0.077,31663,0.01934814453125,0.0035400390625,0.00537109375,0.0203894880131271,0.0246263418373212,0.0144036281725944,1.76829268292683,1.09756097560976,2.31707317073171,3.11453482661515,3.71769014555715,2.06949236110267
0.081,31667,0.0233154296875,0.005126953125,0.00958251953125,0.0257239108695682,0.0245797251695459,0.015765316169619,2.4390243902439,1.46341463414634,2.25609756097561,3.63048186502541,3.71206986312983,2.20907219732815
0.085,31671,0.0218505859375,0.0020751953125,0.00970458984375,0.0239986167399813,0.0245085356638215,0.0170863419216375,2.5,1.46341463414634,2.31707317073171,3.70950272542808,3.70541538297599,2.3420744717974
0.089,31675,0.01934814453125,-0.00726318359375,0.010009765625,0.0229630124458027,0.024436139308986,0.0183569633542904,1.95121951219512,1.21951219512195,2.4390243902439,3.35310416704086,3.69891054189854,2.46844641676855
