time_s,timestamp_ms,xAcc,yAcc,zAcc,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,normGyro,normAvgGyro,normButterGyro
0,25411,-0.0062255859375,0.0203857421875,-0.00677490234375,0.0223659497130742,0.039073810206074,2.57523212978946e-06,-2.07317073170732,-1.46341463414634,1.34146341463415,2.87039080388776,3.97501446990894,0.000330498937807364
0.004,25415,-0.00396728515625,0.0177001953125,-0.008056640625,0.0198480659957601,0.0391625912109417,1.7219148934362e-05,-2.74390243902439,-1.58536585365854,1.46341463414634,3.49055409301505,4.08180677471632,0.00231847561758692
0.008,25419,-0.00396728515625,0.0177001953125,-0.008056640625,0.0198480659957601,0.0392486404925827,5.83224812445964e-05,-2.74390243902439,-1.58536585365854,1.46341463414634,3.49055409301505,4.1853131624527,0.00822342231067924
0.012,25423,-0.00677490234375,0.019775390625,-0.011962890625,0.0240847696323714,0.0391796896125892,0.000139337033846389,-3.23170731707317,-1.58536585365854,1.46341463414634,3.8857302356963,4.24629324294204,0.0204079984812842
0.016,25427,-0.00872802734375,0.0172119140625,-0.01202392578125,0.0227377052096543,0.0389619609105719,0.000271495019818166,-3.65853658536585,-1.64634146341463,1.46341463414634,4.27046982802271,4.26235410400626,0.0409332668683848
0.02,25431,-0.0069580078125,0.01715087890625,-0.0126953125,0.0224440967616948,0.0386771197280953,0.000463911792023097,-3.84146341463415,-1.70731707317073,1.52439024390244,4.47163710178027,4.23604132806978,0.0716095304169831
0.024,25435,-0.00811767578125,0.0186767578125,-0.013427734375,0.0243930726420808,0.0384404554873715,0.000722934502856842,-3.53658536585366,-1.76829268292683,1.52439024390244,4.23769520826684,4.18772705695508,0.113928746892393
0.028,25439,-0.00811767578125,0.0186767578125,-0.013427734375,0.0243930726420808,0.0382105530820968,0.00105274304720506,-3.53658536585366,-1.76829268292683,1.52439024390244,4.23769520826684,4.14079319358652,0.168897207124806
0.032,25443,-0.0068359375,0.0198974609375,-0.01617431640625,0.0265376620008759,0.0380341010593766,0.00145607478699946,-2.98780487804878,-1.82926829268293,1.52439024390244,3.82059760922452,4.11425978811745,0.236955764950251
0.036,25447,-0.0106201171875,0.0223388671875,-0.01153564453125,0.0272925442391939,0.0379220142177878,0.00193453657800691,-2.5609756097561,-2.01219512195122,1.46341463414634,3.57058926145301,4.10533018173605,0.317968811558381
0.04,25451,-0.0113525390625,0.02105712890625,-0.00543212890625,0.0245314256698247,0.0378935775852974,0.00248834438294703,-2.07317073170732,-2.19512195121951,1.52439024390244,3.38236054838016,4.10839782709148,0.411267490340559
0.044,25455,-0.01031494140625,0.02313232421875,-0.0054931640625,0.0259167376687977,0.0378653439155159,0.00311553325701351,-1.52439024390244,-2.25609756097561,1.46341463414634,3.09116874527721,4.1198915466705,0.515766656893345
0.048,25459,-0.01031494140625,0.02313232421875,-0.0054931640625,0.0259167376687977,0.0378378631435952,0.00381222045209753,-1.52439024390244,-2.25609756097561,1.46341463414634,3.09116874527721,4.13107876706074,0.630088322896799
0.052,25463,-0.01239013671875,0.02099609375,-0.0042724609375,0.0247508659066823,0.0377559613128605,0.00457337481997109,-1.21951219512195,-2.37804878048781,1.52439024390244,3.07670141744948,4.1495738654059,0.752701028727697
0.056,25467,-0.01153564453125,0.018798828125,-0.0015869140625,0.0221130126818217,0.0376609467815287,0.00539248318170715,-0.975609756097561,-2.5609756097561,1.46341463414634,3.10676565923341,4.17060807350494,0.882056364309116
0.06,25471,-0.015869140625,0.01629638671875,-6.103515625e-05,0.0227465507177105,0.0375832439158166,0.00626118922863809,-0.853658536585366,-2.6219512195122,1.52439024390244,3.15073431286922,4.19020516477988,1.01665899857619
