time_s,timestamp_ms,xAcc,yAcc,zAcc,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,normGyro,normAvgGyro,normButterGyro
0.001,25411,-0.902587890625,-0.37408447265625,1.302978515625,1.62860587778803,1.60772647502861,0.000187518895331864,-0.121951219512195,-0.487804878048781,0.182926829268293,0.535058804109276,4.23633394030683,6.16070697352712e-05
0.005,25415,-0.90045166015625,-0.3818359375,1.3004150390625,1.6271727472105,1.60745656399971,0.00127478008580508,0.487804878048781,-0.487804878048781,-0.121951219512195,0.700556420309516,4.31587678657451,0.000437923342341866
0.009,25419,-0.90045166015625,-0.3818359375,1.3004150390625,1.6271727472105,1.60737836609881,0.00438923487506073,0.487804878048781,-0.487804878048781,-0.121951219512195,0.700556420309516,4.43117222042249,0.00157195762635626
0.013,25423,-0.88897705078125,-0.3900146484375,1.30010986328125,1.62255270466409,1.60730253783127,0.0106003436018435,0.487804878048781,-0.548780487804878,-0.365853658536585,0.820342929699617,4.54297385324477,0.00394399581191494
0.017,25427,-0.87750244140625,-0.3946533203125,1.30499267578125,1.62134748334536,1.60735742986098,0.0207198090437493,-0.365853658536585,-0.304878048780488,-0.487804878048781,0.681728041920668,4.68339654397988,0.00796700190267112
0.021,25431,-0.86993408203125,-0.3983154296875,1.3089599609375,1.62136259607288,1.60740688638722,0.0353303426756953,-1.28048780487805,-0.24390243902439,-0.731707317073171,1.49483544782089,4.85785285615734,0.0140326385742656
0.025,25435,-0.8731689453125,-0.39520263671875,1.3072509765625,1.62096090232035,1.60750137728554,0.0548138719892179,-1.34146341463415,-0.792682926829268,-0.914634146341463,1.80677224268647,5.05277990086832,0.0227018516511917
0.029,25439,-0.8731689453125,-0.39520263671875,1.3072509765625,1.62096090232035,1.60763376823286,0.0793775361103095,-1.34146341463415,-0.792682926829268,-0.914634146341463,1.80677224268647,5.24156834675776,0.0347515761622081
0.033,25443,-0.8797607421875,-0.3875732421875,1.32122802734375,1.63396312130742,1.60776242985772,0.109078789234205,-0.609756097560976,-1.21951219512195,-0.975609756097561,1.67655208352043,5.42503880825595,0.0509321228854889
0.037,25447,-0.8885498046875,-0.384765625,1.32806396484375,1.64356905431696,1.60789692351884,0.143851107451352,-0.670731707317073,-0.975609756097561,-0.670731707317073,1.36072643929399,5.59926891283213,0.0717230252648185
0.041,25451,-0.8992919921875,-0.3829345703125,1.31103515625,1.63529145820445,1.60797811989283,0.183524400046706,-0.365853658536585,-0.304878048780488,0.182926829268293,0.51015855276468,5.77609232917449,0.0971629906361128
0.045,25455,-0.90826416015625,-0.3861083984375,1.3009033203125,1.63290322088249,1.60801345225563,0.227837226403704,-0.426829268292683,-0.365853658536585,1.52439024390244,1.62474543835052,5.95724460450868,0.126887700459827
0.049,25459,-0.90826416015625,-0.3861083984375,1.3009033203125,1.63290322088249,1.60815443215654,0.276449574449549,-0.426829268292683,-0.365853658536585,1.52439024390244,1.62474543835052,6.12396824454483,0.160550191903846
0.053,25463,-0.9149169921875,-0.391845703125,1.28973388671875,1.62911928851193,1.60829170206006,0.328959649981995,-1.89024390243902,-1.34146341463415,2.68292682926829,3.54551018539186,6.28630442036951,0.198273654051093
0.057,25467,-0.91241455078125,-0.40185546875,1.276123046875,1.61940673118496,1.60858433171839,0.384918228635056,-4.14634146341463,-2.5609756097561,3.71951219512195,6.13070261672004,6.42219355826119,0.241141066979878
