time_s,timestamp_ms,xAcc,yAcc,zAcc,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,normGyro,normAvgGyro,normButterGyro
0.002,31587,-0.85626220703125,-0.41973876953125,1.2740478515625,1.59140300675494,1.58460966165694,0.000183235329016376,-8.10975609756098,3.96341463414634,-4.45121951219512,10.0643010025456,9.28523855638848,0.00115881112307416
0.006,31591,-0.8570556640625,-0.41656494140625,1.2781982421875,1.59432164510227,1.58472353788297,0.00124615709004419,-6.76829268292683,6.21951219512195,-4.39024390243902,10.1865774090189,9.22635238784875,0.00789286133326076
0.01,31595,-0.8570556640625,-0.41656494140625,1.2781982421875,1.59432164510227,1.58484586853101,0.00429235102288396,-6.76829268292683,6.21951219512195,-4.39024390243902,10.1865774090189,9.17000084825565,0.0272268254628699
0.014,31599,-0.86529541015625,-0.4254150390625,1.28033447265625,1.60280081862032,1.58486774608596,0.0103713351154915,-4.20731707317073,7.80487804878049,-3.65853658536585,9.5917948402262,9.11912547690213,0.0657952856802392
0.018,31603,-0.87579345703125,-0.4381103515625,1.26513671875,1.59985179834086,1.58486906196511,0.020284590109496,-0.365853658536585,8.10975609756098,-2.19512195121951,8.40955131039212,9.08126602655206,0.128317608910027
0.022,31607,-0.87298583984375,-0.4478759765625,1.248291015625,1.5877429346842,1.58487033914193,0.0346105067465527,4.14634146341463,7.6219512195122,-0.365853658536585,8.68447677314641,9.04452008944759,0.217585939463056
0.026,31611,-0.8704833984375,-0.45703125,1.2452392578125,1.58658114183589,1.58502613891128,0.0537257712164732,8.59756097560976,6.89024390243902,1.58536585365854,11.1313476567023,9.00996230392299,0.335223891882116
0.03,31615,-0.8704833984375,-0.45703125,1.2452392578125,1.58658114183589,1.5852857291461,0.0778304173873842,8.59756097560976,6.89024390243902,1.58536585365854,11.1313476567023,8.96222622046411,0.482748555333611
0.034,31619,-0.85321044921875,-0.46539306640625,1.24554443359375,1.57985433283308,1.58551504419195,0.106974201380598,12.4390243902439,6.34146341463415,3.10975609756098,14.3043374193475,8.91077841092722,0.661973449625302
0.038,31623,-0.84283447265625,-0.473388671875,1.24261474609375,1.57434373316851,1.58568359419665,0.141077931744342,15.1829268292683,5.91463414634146,3.90243902439024,16.7550945842471,8.86773852306652,0.875310682083036
0.042,31627,-0.84100341796875,-0.4833984375,1.2369384765625,1.57193434761548,1.58584752639301,0.179952396819063,16.7073170731707,5.36585365853659,3.84146341463415,17.9633980759283,8.82587781021571,1.12600915878014
0.046,31631,-0.8458251953125,-0.49383544921875,1.23260498046875,1.57435979045671,1.58608674761075,0.223318667582661,16.0975609756098,4.14634146341463,3.04878048780488,16.9002567837748,8.79470343809944,1.4173348667963
0.05,31635,-0.8458251953125,-0.49383544921875,1.23260498046875,1.57435979045671,1.58627110178782,0.2708278880394,16.0975609756098,4.14634146341463,3.04878048780488,16.9002567837748,8.75491575083178,1.75129751762391
0.054,31639,-0.8629150390625,-0.49591064453125,1.22747802734375,1.58026960978541,1.58634682816766,0.322078296869941,13.6585365853659,2.5,1.64634146341463,13.9827058135375,8.68447663370268,2.12790794346813
0.058,31643,-0.87713623046875,-0.48175048828125,1.2144775390625,1.57366044388472,1.58626807071849,0.376628911027328,10.5487804878049,1.40243902439024,0.304878048780488,10.6459642880133,8.59980056615902,2.54455247490517
0.062,31647,-0.8778076171875,-0.46002197265625,1.21405029296875,1.56719001463653,1.5861913326911,0.434008957287926,7.37804878048781,1.03658536585366,-0.853658536585366,7.49925635813609,8.51729567983444,2.99547262740299
0.066,31651,-0.8739013671875,-0.4427490234375,1.21832275390625,1.56334277431814,1.58606639001093,0.493725803004259,4.51219512195122,1.40243902439024,-2.25609756097561,5.2360974246411,8.45782532440828,3.47209597053638
0.07,31655,-0.86004638671875,-0.430419921875,1.21966552734375,1.5532305350609,1.58594627667023,0.555274370909277,1.34146341463415,2.31707317073171,-3.65853658536585,4.53356836474173,8.40491443529623,3.96418045121887
0.074,31659,-0.86004638671875,-0.430419921875,1.21966552734375,1.5532305350609,1.58578734507464,0.61814665695217,1.34146341463415,2.31707317073171,-3.65853658536585,4.53356836474173,8.35012740775904,4.46123422677039
0.078,31663,-0.84820556640625,-0.430419921875,1.22308349609375,1.54940221712967,1.58564575380705,0.681841301908369,-1.28048780487805,3.35365853658537,-4.45121951219512,5.7183939829466,8.29042691133549,4.95376377196533
0.082,31667,-0.84222412109375,-0.436279296875,1.23046875,1.55361978609969,1.58560335907799,0.745872947675144,-3.41463414634146,4.20731707317073,-4.32926829268293,6.9356908277103,8.23087424279254,5.43410096249271
0.086,31671,-0.84002685546875,-0.4422607421875,1.2357177734375,1.55828049387082,1.58556197374724,0.809780346784354,-4.32926829268293,4.75609756097561,-3.59756097560976,7.36922471721267,8.17273949492919,5.89662970176184
0.09,31675,-0.8419189453125,-0.45001220703125,1.25103759765625,1.57366882402327,1.58562504773459,0.873134043304131,-3.71951219512195,5.0609756097561,-2.25609756097561,6.67369622449562,8.1269327635958,6.33727558029399
0.094,31679,-0.8419189453125,-0.45001220703125,1.25103759765625,1.57366882402327,1.58575574927409,0.935541768876106,-3.71951219512195,5.0609756097561,-2.25609756097561,6.67369622449562,8.10108032614309,6.75274094047645
0.098,31683,-0.8448486328125,-0.46856689453125,1.26385498046875,1.59080280320078,1.58599423732439,0.996649953828275,-1.58536585365854,5.30487804878049,-0.670731707317073,5.57718540355079,8.08599734880148,7.1400791531118
0.102,31687,-0.85052490234375,-0.492919921875,1.2734375,1.60872798362382,1.58627257646763,1.05614611323397,2.01219512195122,5.42682926829268,1.09756097560976,5.89101393744607,8.06319677165783,7.49660303926405
0.106,31691,-0.8560791015625,-0.512451171875,1.278564453125,1.62179058219085,1.58654466079866,1.11376228349889,5.67073170731707,5,2.74390243902439,8.04277307222175,8.04090856703426,7.82031405208589
0.11,31695,-0.8658447265625,-0.51190185546875,1.2734375,1.62276728662944,1.58677137906226,1.16927259977693,8.35365853658537,3.84146341463415,3.84146341463415,9.96480272146974,8.00338887132267,8.11081202046004
0.114,31699,-0.8658447265625,-0.51190185546875,1.2734375,1.62276728662944,1.58697313720712,1.22248572078525,8.35365853658537,3.84146341463415,3.84146341463415,9.96480272146974,7.9479496193749,8.36953824089506
0.118,31703,-0.88330078125,-0.5062255859375,1.259765625,1.61972035979865,1.58710406029172,1.27323864682727,10.3658536585366,2.80487804878049,4.75609756097561,11.7447318806453,7.88773651065175,8.59911678543615
0.122,31707,-0.89404296875,-0.4920654296875,1.2474365234375,1.61168827540275,1.58708124814306,1.32139337588074,11.219512195122,1.46341463414634,4.75609756097561,12.2735284371464,7.83045170523328,8.80289940973463
0.126,31711,-0.89892578125,-0.47491455078125,1.24359130859375,1.60627853548181,1.58705892135927,1.36683462034519,10.9756097560976,-0.548780487804878,3.53658536585366,11.5443754959681,7.77438572546201,8.98461341152395
0.131,31743,-0.83929443359375,-0.43536376953125,1.236572265625,1.55662061087307,1.58694383744036,1.40946396379302,-10.8536585365854,-2.68292682926829,-1.21951219512195,11.2466532797118,7.7121868751308,9.14763492748207
0.135,31747,-0.8470458984375,-0.4588623046875,1.2386474609375,1.56916821953857,1.58674264690205,1.44919334359026,-11.3414634146341,-1.40243902439024,0.487804878048781,11.438250792917,7.64868040780791,9.29463666052151
0.139,31751,-0.85223388671875,-0.4791259765625,1.24420166015625,1.58237229191625,1.58648277088043,1.48595398782931,-10.4268292682927,-0.426829268292683,1.95121951219512,10.6164122658819,7.60830211783076,9.42773962002932
0.143,31755,-0.853759765625,-0.49652099609375,1.2452392578125,1.58935824978493,1.58619765588569,1.51971276571984,-8.17073170731707,0.731707317073171,3.53658536585366,8.93329101064021,7.5930634669447,9.54835805389211
0.147,31759,-0.853759765625,-0.49652099609375,1.2452392578125,1.58935824978493,1.58591830078983,1.55047348686597,-8.17073170731707,0.731707317073171,3.53658536585366,8.93329101064021,7.57813266759169,9.65691704936421
0.151,31763,-0.8568115234375,-0.521240234375,1.24298095703125,1.59712836934572,1.58566365227315,1.57826927329648,-4.63414634146342,2.4390243902439,4.57317073170732,6.95255656802933,7.58699550283106,9.75297541675829
0.155,31767,-0.861328125,-0.53521728515625,1.24517822265625,1.60586814135639,1.58545826574499,1.60315902494816,0.304878048780488,4.39024390243902,5.18292682926829,6.79925897911532,7.61791665782847,9.83541136276041
0.159,31771,-0.86273193359375,-0.5430908203125,1.2462158203125,1.61006456365801,1.58539977619739,1.62522603965872,6.21951219512195,5.67073170731707,5.48780487804878,10.047663032824,7.66397054188728,9.90311159061624
0.163,31775,-0.86260986328125,-0.5372314453125,1.23809814453125,1.60174917435733,1.58549483423311,1.64457290058132,11.7073170731707,5.85365853658537,5.30487804878049,14.1233254733836,7.71372006524282,9.9566766455491
0.167,31779,-0.86260986328125,-0.5372314453125,1.23809814453125,1.60174917435733,1.5855880642297,1.66131381468242,11.7073170731707,5.85365853658537,5.30487804878049,14.1233254733836,7.76251286699537,9.99931285513381
0.171,31783,-0.8681640625,-0.52178955078125,1.23211669921875,1.59501872566271,1.58579047341558,1.67557010908315,15.3658536585366,5.1219512195122,4.20731707317073,16.7345558621918,7.80314215913174,10.0358806347253
0.175,31787,-0.86846923828125,-0.49786376953125,1.23089599609375,1.58657243895522,1.58599605844333,1.68746796605757,16.7073170731707,3.47560975609756,2.4390243902439,17.2384206624722,7.82626573591664,10.0718586953019
0.179,31791,-0.85455322265625,-0.4677734375,1.228271484375,1.56771299621822,1.5861953700909,1.6971342994758,16.8292682926829,1.58536585365854,0.609756097560976,16.9147704286982,7.82681881730118,10.1127436283648
0.186,31915,-0.864990234375,-0.448486328125,1.2454833984375,1.58132127914051,1.58637008138907,1.70469518548748,4.26829268292683,-1.64634146341463,-1.15853658536585,4.71921282216813,7.80017745940291,10.1618639639681
0.19,31919,-0.85009765625,-0.44366455078125,1.2403564453125,1.56779729882722,1.58654158697535,1.71028000072904,5.91463414634146,-1.40243902439024,-2.80487804878049,6.69455548716505,7.77402493375965,10.2177105520507
0.194,31923,-0.85009765625,-0.44366455078125,1.2403564453125,1.56779729882722,1.58671407682176,1.71402253305792,5.91463414634146,-1.40243902439024,-2.80487804878049,6.69455548716505,7.72652775028242,10.2753101662815
0.198,31927,-0.83795166015625,-0.44476318359375,1.2374267578125,1.55923130265827,1.58683853373319,1.71605753821962,5.97560975609756,-1.09756097560976,-3.78048780487805,7.15574175716127,7.6803481639935,10.3298426165282
0.202,31931,-0.83966064453125,-0.454833984375,1.232421875,1.55909192458161,1.58697624229796,1.71651928986982,5.18292682926829,-0.365853658536585,-3.96341463414634,6.5349242519848,7.6456594419709,10.3776857683833
0.206,31935,-0.84552001953125,-0.46319580078125,1.2232666015625,1.55750943232707,1.58709353340404,1.71554206275517,4.9390243902439,0.426829268292683,-3.47560975609756,6.05442056091051,7.61271439857436,10.4158423314553
0.21,31939,-0.85107421875,-0.47613525390625,1.22442626953125,1.56532801525799,1.58720876677142,1.71326156970498,5.73170731707317,1.03658536585366,-2.4390243902439,6.31473023695365,7.58034733839531,10.4417015483602
0.214,31943,-0.85107421875,-0.47613525390625,1.22442626953125,1.56532801525799,1.58736072168597,1.70981629657182,5.73170731707317,1.03658536585366,-2.4390243902439,6.31473023695365,7.54114313400589,10.4531764987915
0.218,31947,-0.853759765625,-0.48345947265625,1.23431396484375,1.57675925965552,1.58756744918093,1.70534729467909,6.28048780487805,1.09756097560976,-1.34146341463415,6.51526601569002,7.49105660737399,10.4488643743593
0.222,31951,-0.8548583984375,-0.49072265625,1.251708984375,1.59322534134418,1.58777473646543,1.69999904875507,5.91463414634146,0.426829268292683,-0.487804878048781,5.95004486608192,7.45218686857039,10.4279378898389
0.226,31955,-0.8553466796875,-0.492919921875,1.2579345703125,1.59905827755619,1.58796438930361,1.69392064550016,5.79268292682927,0.548780487804878,-0.0609756097560976,5.81893921084933,7.43731153417209,10.3898952609449
0.23,31959,-0.86077880859375,-0.48480224609375,1.25421142578125,1.59656496131597,1.58815085469913,1.68726137028898,6.58536585365854,1.46341463414634,0.24390243902439,6.75041585516978,7.42268620539394,10.3345564981876
0.234,31963,-0.86077880859375,-0.48480224609375,1.25421142578125,1.59656496131597,1.58831916654231,1.68016285919877,6.58536585365854,1.46341463414634,0.24390243902439,6.75041585516978,7.42289312155626,10.262345489954
0.237,31967,-0.868408203125,-0.47222900390625,1.25390625,1.59668842394944,1.58841129541371,1.67275514434932,7.07317073170732,1.70731707317073,0.0609756097560976,7.27656469862025,7.42094234630517,10.1743437990926
0.241,31971,-0.8760986328125,-0.45025634765625,1.25433349609375,1.59487683300105,1.58845877842815,1.66515645447564,6.64634146341464,0.975609756097561,-0.975609756097561,6.78803974949249,7.40884481704731,10.0720315767421
0.245,31975,-0.87701416015625,-0.429931640625,1.26068115234375,1.594776479824,1.58846141327434,1.65747328956787,5.73170731707317,-0.182926829268293,-2.4390243902439,6.23175504730898,7.38443392673449,9.95691789855483
