time_s,timestamp_ms,xAcc,yAcc,zAcc,normAcc,normAvgAcc,normButterAcc,rxAcc,ryAcc,rzAcc,normGyro,normAvgGyro,normButterGyro
0.002,63719,-0.99285888671875,-0.24041748046875,1.34765625,1.69107856175146,1.61310799227011,0.000194712046753588,27.6219512195122,17.0731707317073,24.5731707317073,40.7223043038674,20.2789752946499,0.00468879648696879
0.006,63723,-0.99285888671875,-0.24041748046875,1.34765625,1.69107856175146,1.61401069078415,0.00132385149239974,27.6219512195122,17.0731707317073,24.5731707317073,40.7223043038674,20.1223614858621,0.0318792305372236
0.01,63727,-0.98309326171875,-0.231201171875,1.3270263671875,1.667610662692,1.6146939599529,0.00455606705001668,16.8292682926829,14.1463414634146,25.3658536585366,33.5673916158661,20.0010805020998,0.108954392489972
0.014,63731,-0.970947265625,-0.22991943359375,1.29608154296875,1.63567383808417,1.61518391131588,0.0109894836466393,5.67073170731707,12.3780487804878,25.1219512195122,28.5742142986305,19.9199441691977,0.258988977405837
0.018,63735,-0.9622802734375,-0.2335205078125,1.24713134765625,1.5924357916484,1.61550198047431,0.0214349580461683,-5.30487804878049,9.63414634146342,24.390243902439,26.7552332163566,19.8766183129313,0.495007165836789
0.022,63739,-0.94342041015625,-0.25372314453125,1.193603515625,1.54243536554456,1.6158106946575,0.0364399427468665,-14.390243902439,4.9390243902439,23.3536585365854,27.8723240606616,19.8345667465552,0.822859620125314
0.026,63743,-0.91668701171875,-0.27490234375,1.13653564453125,1.48579932943287,1.61562341471177,0.0563145300505443,-21.5243902439024,-2.01219512195122,21.8292682926829,30.7223901865486,19.8546219133052,1.24490059592973
0.03,63747,-0.91668701171875,-0.27490234375,1.13653564453125,1.48579932943287,1.61544148562164,0.0811652724014671,-21.5243902439024,-2.01219512195122,21.8292682926829,30.7223901865486,19.8741040752909,1.76214634642957
0.034,63751,-0.89208984375,-0.30401611328125,1.1221923828125,1.46545754987954,1.61525162315106,0.110939933825726,-26.3414634146341,-10.3048780487805,20.3048780487805,34.8188351183752,19.8731937814749,2.37483694289993
0.038,63755,-0.85809326171875,-0.34002685546875,1.15191650390625,1.47609415018781,1.61505873885222,0.14546815890376,-29.7560975609756,-16.9512195121951,18.6585365853659,38.9988483485905,19.8296941432631,3.08312518431154
0.042,63759,-0.8406982421875,-0.3704833984375,1.199951171875,1.51126248475212,1.61491812676548,0.184494676952034,-31.9512195121951,-19.4512195121951,16.5243902439024,40.8935916955317,19.7330057713278,3.8878542973
0.046,63763,-0.8226318359375,-0.40283203125,1.236083984375,1.53847339896642,1.61482151325582,0.227711103157728,-33.9634146341463,-20.3658536585366,14.2682926829268,42.0935351917315,19.5788814235414,4.78995940110632
0.05,63767,-0.8226318359375,-0.40283203125,1.236083984375,1.53847339896642,1.61472747610641,0.27477342029933,-33.9634146341463,-20.3658536585366,14.2682926829268,42.0935351917315,19.4288670583627,5.78918645471209
0.053,63771,-0.807373046875,-0.4342041015625,1.2835693359375,1.57731882598064,1.61471538845569,0.325306218501468,-35.6707317073171,-20.609756097561,12.5,43.0512850788028,19.2412172361497,6.8834166656793
0.057,63775,-0.78533935546875,-0.45538330078125,1.3428955078125,1.62095656906084,1.6148497815027,0.37891557362635,-35.2439024390244,-19.0853658536585,10.8536585365854,41.5233157699172,19.0703697990919,8.06850670462838
0.061,63779,-0.76898193359375,-0.48150634765625,1.391357421875,1.66104095447207,1.61506396174317,0.435208149281449,-32.8658536585366,-15.609756097561,8.90243902439024,37.4577394234178,18.9523046104226,9.33768971425213
0.065,63783,-0.759765625,-0.50335693359375,1.4200439453125,1.68734608606155,1.61535455149271,0.493798952993044,-28.5975609756098,-9.9390243902439,7.25609756097561,31.1328709148061,18.8829182293462,10.6802116299161
0.069,63787,-0.759765625,-0.50335693359375,1.4200439453125,1.68734608606155,1.61563787649851,0.55430610666709,-28.5975609756098,-9.9390243902439,7.25609756097561,31.1328709148061,18.8152665077966,12.0809671634472
0.073,63791,-0.7620849609375,-0.51904296875,1.4356689453125,1.70626035868815,1.61590680695238,0.616343252780829,-22.6829268292683,-2.92682926829268,5.97560975609756,23.6387269340978,18.7780029712262,13.521757883597
0.077,63795,-0.7698974609375,-0.52728271484375,1.42718505859375,1.70517634079419,1.61621414022373,0.679519415294761,-15,4.32926829268293,4.9390243902439,16.3748748354744,18.7508831325133,14.981506246333
0.081,63799,-0.7745361328125,-0.51739501953125,1.40789794921875,1.68812927901931,1.61670273222457,0.743440529388166,-6.21951219512195,11.4024390243902,4.45121951219512,13.7299418351264,18.7150222125719,16.435889926342
0.085,63803,-0.78125,-0.49237060546875,1.3863525390625,1.66575920774724,1.61738069010332,0.807705494877522,2.37804878048781,17.1341463414634,4.51219512195122,17.8771919403363,18.6597516336788,17.859966318052
0.089,63807,-0.78125,-0.49237060546875,1.3863525390625,1.66575920774724,1.61804269603199,0.87190722112061,2.37804878048781,17.1341463414634,4.51219512195122,17.8771919403363,18.6057815389949,19.2322493252719
0.093,63811,-0.79339599609375,-0.469482421875,1.3612060546875,1.64401121479907,1.6188144988281,0.935642589382758,9.32926829268293,21.0975609756098,5,23.6038625228252,18.5320414513219,20.5366155946426
0.097,63815,-0.8160400390625,-0.452880859375,1.33245849609375,1.62679687175559,1.61962366140384,0.998519478046467,14.2682926829268,23.4146341463415,5.97560975609756,28.0630928489689,18.4382287471694,21.7628594220365
0.101,63819,-0.8399658203125,-0.43304443359375,1.3123779296875,1.61722165799578,1.62039852673507,1.06016005775021,17.6219512195122,24.8170731707317,7.31707317073171,31.3043103314889,18.3126135735908,22.9067911930613
0.105,63823,-0.86114501953125,-0.414306640625,1.2958984375,1.61014704218105,1.62098779146806,1.12020805857498,19.6951219512195,25.7317073170732,8.71951219512195,33.5566458849183,18.1468204627777,23.9689787884174
0.109,63827,-0.86114501953125,-0.414306640625,1.2958984375,1.61014704218105,1.62135545491676,1.17833750692655,19.6951219512195,25.7317073170732,8.71951219512195,33.5566458849183,17.9689791647714,24.95277831226
0.113,63831,-0.878173828125,-0.383544921875,1.2740478515625,1.5942063566461,1.62171503785009,1.23425714256084,20.1219512195122,25.4878048780488,10.0609756097561,33.9962402127356,17.7950464667212,25.8626291417495
0.117,63835,-0.89501953125,-0.3597412109375,1.26123046875,1.58782114719168,1.62199518047247,1.28770965343796,19.2073170731707,23.780487804878,11.219512195122,32.5624029101625,17.6814036073841,26.7028896930305
0.121,63839,-0.90997314453125,-0.34075927734375,1.25775146484375,1.58937307016966,1.62220570439367,1.33847187832242,18.2317073170732,21.1585365853659,11.8292682926829,30.331673387236,17.602037622693,27.4769921103843
0.125,63843,-0.9232177734375,-0.32489013671875,1.255126953125,1.59161186430262,1.62235130042779,1.38635933159223,16.5243902439024,18.2317073170732,11.4634146341463,27.1451745196556,17.5451142737239,28.1866288969011
0.129,63847,-0.9232177734375,-0.32489013671875,1.255126953125,1.59161186430262,1.62251712187832,1.43122891856867,16.5243902439024,18.2317073170732,11.4634146341463,27.1451745196556,17.499022075218,28.8316448407646
0.133,63851,-0.9302978515625,-0.32659912109375,1.263916015625,1.60299868155728,1.62267948871529,1.47297841663884,14.0853658536585,15.9146341463415,10.3658536585366,23.645803714687,17.4538901308476,29.4107118460236
0.137,63855,-0.93701171875,-0.33197021484375,1.268798828125,1.61184541779589,1.62284679414835,1.51154667319243,11.4024390243902,13.9634146341463,8.84146341463415,20.0789451730499,17.4133879848487,29.92140120229
0.141,63859,-0.93951416015625,-0.33282470703125,1.27569580078125,1.61890670480898,1.62302446125063,1.54691273670909,8.35365853658537,11.5853658536585,7.01219512195122,15.9114799229141,17.3757520526186,30.359556129405
0.145,63863,-0.94140625,-0.33721923828125,1.2841796875,1.62759946301098,1.62319493591986,1.57909186020523,5.30487804878049,8.96341463414634,4.81707317073171,11.4755708767906,17.3445595335938,30.71908304992
0.149,63867,-0.94140625,-0.33721923828125,1.2841796875,1.62759946301098,1.62333153638122,1.60813022126469,5.30487804878049,8.96341463414634,4.81707317073171,11.4755708767906,17.3224686182099,30.9926884741787
0.153,63871,-0.937744140625,-0.34454345703125,1.30230712890625,1.64136471421181,1.62346543188294,1.63410029638808,2.5,6.64634146341464,2.68292682926829,7.59091241021211,17.3008151466949,31.1732300595011
